MISSION REPORT
====================

Packet 1 | Time 0 s | Altitude 4.23 m | Velocity 4.23 m/s | Battery 23.98 V | Status HEALTHY
Packet 28 | Time 27 s | Altitude 1219.57 m | Velocity 83.71 m/s | Battery 23.67 V | Status HEALTHY
Packet 29 | Time 28 s | Altitude 1304.91 m | Velocity 85.35 m/s | Battery 23.65 V | Status HEALTHY
Packet 30 | Time 29 s | Altitude 1392.11 m | Velocity 87.2 m/s | Battery 23.64 V | Status HEALTHY
Packet 31 | Time 30 s | Altitude 1483.32 m | Velocity 91.21 m/s | Battery 23.63 V | Status HEALTHY
Packet 32 | Time 31 s | Altitude 1577.13 m | Velocity 93.81 m/s | Battery 23.62 V | Status HEALTHY
Packet 33 | Time 32 s | Altitude 1672.02 m | Velocity 94.89 m/s | Battery 23.61 V | Status HEALTHY
Packet 34 | Time 33 s | Altitude 1769.8 m | Velocity 97.78 m/s | Battery 23.6 V | Status HEALTHY
Packet 35 | Time 34 s | Altitude 1870.63 m | Velocity 100.84 m/s | Battery 23.59 V | Status HEALTHY
Packet 36 | Time 35 s | Altitude 1974.45 m | Velocity 103.82 m/s | Battery 23.58 V | Status HEALTHY
Packet 37 | Time 36 s | Altitude 2081.04 m | Velocity 106.59 m/s | Battery 23.56 V | Status HEALTHY
Packet 38 | Time 37 s | Altitude 2191.65 m | Velocity 110.62 m/s | Battery 23.56 V | Status HEALTHY
Packet 39 | Time 38 s | Altitude 2303.53 m | Velocity 111.88 m/s | Battery 23.55 V | Status HEALTHY
Packet 40 | Time 39 s | Altitude 2417.24 m | Velocity 113.7 m/s | Battery 23.54 V | Status HEALTHY
Packet 41 | Time 40 s | Altitude 2535.9 m | Velocity 118.66 m/s | Battery 23.52 V | Status HEALTHY
Packet 42 | Time 41 s | Altitude 2656.37 m | Velocity 120.47 m/s | Battery 23.51 V | Status HEALTHY
Packet 43 | Time 42 s | Altitude 2778.91 m | Velocity 122.54 m/s | Battery 23.5 V | Status HEALTHY
Packet 44 | Time 43 s | Altitude 2902.47 m | Velocity 123.56 m/s | Battery 23.49 V | Status HEALTHY
Packet 45 | Time 44 s | Altitude 3030.71 m | Velocity 128.24 m/s | Battery 23.47 V | Status HEALTHY
Packet 46 | Time 45 s | Altitude 3160.82 m | Velocity 130.12 m/s | Battery 23.47 V | Status HEALTHY
Packet 47 | Time 46 s | Altitude 3295.74 m | Velocity 134.92 m/s | Battery 23.45 V | Status HEALTHY
Packet 48 | Time 47 s | Altitude 3434.11 m | Velocity 138.38 m/s | Battery 23.45 V | Status HEALTHY
Packet 49 | Time 48 s | Altitude 3573.63 m | Velocity 139.52 m/s | Battery 23.44 V | Status HEALTHY
Packet 50 | Time 49 s | Altitude 3714.36 m | Velocity 140.72 m/s | Battery 23.42 V | Status HEALTHY
Packet 51 | Time 50 s | Altitude 3856.72 m | Velocity 142.37 m/s | Battery 23.41 V | Status HEALTHY
Packet 52 | Time 51 s | Altitude 4001.74 m | Velocity 145.02 m/s | Battery 23.41 V | Status HEALTHY
Packet 53 | Time 52 s | Altitude 4149.94 m | Velocity 148.2 m/s | Battery 23.4 V | Status HEALTHY
Packet 54 | Time 53 s | Altitude 4301.54 m | Velocity 151.6 m/s | Battery 23.38 V | Status HEALTHY
Packet 55 | Time 54 s | Altitude 4455.0 m | Velocity 153.46 m/s | Battery 23.37 V | Status HEALTHY
Packet 56 | Time 55 s | Altitude 4613.25 m | Velocity 158.25 m/s | Battery 23.36 V | Status HEALTHY
Packet 57 | Time 56 s | Altitude 4772.9 m | Velocity 159.65 m/s | Battery 23.34 V | Status HEALTHY
Packet 58 | Time 57 s | Altitude 4937.04 m | Velocity 164.14 m/s | Battery 23.33 V | Status HEALTHY
Packet 59 | Time 58 s | Altitude 5102.76 m | Velocity 165.73 m/s | Battery 23.31 V | Status HEALTHY
Packet 60 | Time 59 s | Altitude 5270.27 m | Velocity 167.51 m/s | Battery 23.3 V | Status HEALTHY
Packet 61 | Time 60 s | Altitude 5440.06 m | Velocity 169.79 m/s | Battery 23.28 V | Status HEALTHY
Packet 62 | Time 61 s | Altitude 5613.78 m | Velocity 173.72 m/s | Battery 23.27 V | Status HEALTHY
Packet 63 | Time 62 s | Altitude 5788.59 m | Velocity 174.81 m/s | Battery 23.26 V | Status HEALTHY
Packet 64 | Time 63 s | Altitude 5965.63 m | Velocity 177.04 m/s | Battery 23.24 V | Status HEALTHY
Packet 65 | Time 64 s | Altitude 6145.18 m | Velocity 179.55 m/s | Battery 23.23 V | Status HEALTHY
Packet 66 | Time 65 s | Altitude 6326.4 m | Velocity 181.22 m/s | Battery 23.21 V | Status HEALTHY
Packet 67 | Time 66 s | Altitude 6512.31 m | Velocity 185.91 m/s | Battery 23.19 V | Status HEALTHY
Packet 68 | Time 67 s | Altitude 6703.16 m | Velocity 190.85 m/s | Battery 23.19 V | Status HEALTHY
Packet 69 | Time 68 s | Altitude 6897.15 m | Velocity 193.99 m/s | Battery 23.17 V | Status HEALTHY
Packet 70 | Time 69 s | Altitude 7094.85 m | Velocity 197.69 m/s | Battery 23.16 V | Status HEALTHY
Packet 71 | Time 70 s | Altitude 7294.71 m | Velocity 199.86 m/s | Battery 23.14 V | Status HEALTHY
Packet 72 | Time 71 s | Altitude 7496.66 m | Velocity 201.95 m/s | Battery 23.13 V | Status HEALTHY
Packet 73 | Time 72 s | Altitude 7702.09 m | Velocity 205.43 m/s | Battery 23.13 V | Status HEALTHY
Packet 74 | Time 73 s | Altitude 7910.53 m | Velocity 208.44 m/s | Battery 23.11 V | Status HEALTHY
Packet 75 | Time 74 s | Altitude 8123.37 m | Velocity 212.84 m/s | Battery 23.11 V | Status HEALTHY
Packet 76 | Time 75 s | Altitude 8338.69 m | Velocity 215.31 m/s | Battery 23.1 V | Status HEALTHY
Packet 77 | Time 76 s | Altitude 8558.67 m | Velocity 219.98 m/s | Battery 23.08 V | Status HEALTHY
Packet 78 | Time 77 s | Altitude 8780.73 m | Velocity 222.06 m/s | Battery 23.06 V | Status HEALTHY
Packet 79 | Time 78 s | Altitude 9005.61 m | Velocity 224.87 m/s | Battery 23.05 V | Status HEALTHY
Packet 80 | Time 79 s | Altitude 9232.87 m | Velocity 227.26 m/s | Battery 23.04 V | Status HEALTHY
Packet 81 | Time 80 s | Altitude 9461.76 m | Velocity 228.9 m/s | Battery 23.02 V | Status HEALTHY
Packet 82 | Time 81 s | Altitude 9692.67 m | Velocity 230.9 m/s | Battery 23.0 V | Status HEALTHY
Packet 83 | Time 82 s | Altitude 9925.63 m | Velocity 232.97 m/s | Battery 22.99 V | Status HEALTHY
Packet 84 | Time 83 s | Altitude 10162.55 m | Velocity 236.92 m/s | Battery 22.98 V | Status HEALTHY
Packet 85 | Time 84 s | Altitude 10403.97 m | Velocity 241.42 m/s | Battery 22.97 V | Status HEALTHY
Packet 86 | Time 85 s | Altitude 10647.5 m | Velocity 243.53 m/s | Battery 22.96 V | Status HEALTHY
Packet 87 | Time 86 s | Altitude 10892.61 m | Velocity 245.11 m/s | Battery 22.95 V | Status HEALTHY
Packet 88 | Time 87 s | Altitude 11142.4 m | Velocity 249.79 m/s | Battery 22.95 V | Status HEALTHY
Packet 89 | Time 88 s | Altitude 11397.11 m | Velocity 254.71 m/s | Battery 22.94 V | Status HEALTHY
Packet 90 | Time 89 s | Altitude 11656.29 m | Velocity 259.18 m/s | Battery 22.93 V | Status HEALTHY
Packet 91 | Time 90 s | Altitude 11917.64 m | Velocity 261.35 m/s | Battery 22.92 V | Status HEALTHY
Packet 92 | Time 91 s | Altitude 12181.9 m | Velocity 264.26 m/s | Battery 22.9 V | Status HEALTHY
Packet 93 | Time 92 s | Altitude 12449.67 m | Velocity 267.78 m/s | Battery 22.89 V | Status HEALTHY
Packet 94 | Time 93 s | Altitude 12722.01 m | Velocity 272.33 m/s | Battery 22.88 V | Status HEALTHY
Packet 95 | Time 94 s | Altitude 12997.58 m | Velocity 275.57 m/s | Battery 22.87 V | Status HEALTHY
Packet 96 | Time 95 s | Altitude 13278.07 m | Velocity 280.5 m/s | Battery 22.86 V | Status HEALTHY
Packet 97 | Time 96 s | Altitude 13563.15 m | Velocity 285.07 m/s | Battery 22.85 V | Status HEALTHY
Packet 98 | Time 97 s | Altitude 13851.3 m | Velocity 288.15 m/s | Battery 22.84 V | Status HEALTHY
Packet 99 | Time 98 s | Altitude 14143.63 m | Velocity 292.33 m/s | Battery 22.82 V | Status HEALTHY
Packet 100 | Time 99 s | Altitude 14439.27 m | Velocity 295.63 m/s | Battery 22.81 V | Status HEALTHY

====================
Healthy Packets : 100
Warning Packets : 0
