MISSION REPORT
====================

Packet 1 | Time 0 s | Altitude 3.56 m | Velocity 3.56 m/s | Battery 23.99 V | Status HEALTHY
Packet 47 | Time 46 s | Altitude 3544.76 m | Velocity 150.68 m/s | Battery 23.41 V | Status HEALTHY
Packet 48 | Time 47 s | Altitude 3698.64 m | Velocity 153.88 m/s | Battery 23.39 V | Status HEALTHY
Packet 49 | Time 48 s | Altitude 3855.22 m | Velocity 156.58 m/s | Battery 23.38 V | Status HEALTHY
Packet 50 | Time 49 s | Altitude 4015.71 m | Velocity 160.5 m/s | Battery 23.37 V | Status HEALTHY
Packet 51 | Time 50 s | Altitude 4181.19 m | Velocity 165.48 m/s | Battery 23.36 V | Status HEALTHY
Packet 52 | Time 51 s | Altitude 4349.74 m | Velocity 168.55 m/s | Battery 23.35 V | Status HEALTHY
Packet 53 | Time 52 s | Altitude 4520.64 m | Velocity 170.9 m/s | Battery 23.34 V | Status HEALTHY
Packet 54 | Time 53 s | Altitude 4693.42 m | Velocity 172.78 m/s | Battery 23.33 V | Status HEALTHY
Packet 55 | Time 54 s | Altitude 4868.11 m | Velocity 174.7 m/s | Battery 23.31 V | Status HEALTHY
Packet 56 | Time 55 s | Altitude 5044.09 m | Velocity 175.98 m/s | Battery 23.29 V | Status HEALTHY
Packet 57 | Time 56 s | Altitude 5221.93 m | Velocity 177.84 m/s | Battery 23.27 V | Status HEALTHY
Packet 58 | Time 57 s | Altitude 5403.05 m | Velocity 181.12 m/s | Battery 23.26 V | Status HEALTHY
Packet 59 | Time 58 s | Altitude 5588.4 m | Velocity 185.35 m/s | Battery 23.25 V | Status HEALTHY
Packet 60 | Time 59 s | Altitude 5776.47 m | Velocity 188.07 m/s | Battery 23.24 V | Status HEALTHY
Packet 61 | Time 60 s | Altitude 5968.46 m | Velocity 191.99 m/s | Battery 23.22 V | Status HEALTHY
Packet 62 | Time 61 s | Altitude 6161.84 m | Velocity 193.38 m/s | Battery 23.21 V | Status HEALTHY
Packet 63 | Time 62 s | Altitude 6359.68 m | Velocity 197.83 m/s | Battery 23.2 V | Status HEALTHY
Packet 64 | Time 63 s | Altitude 6560.3 m | Velocity 200.63 m/s | Battery 23.19 V | Status HEALTHY
Packet 65 | Time 64 s | Altitude 6762.93 m | Velocity 202.62 m/s | Battery 23.18 V | Status HEALTHY
Packet 66 | Time 65 s | Altitude 6970.0 m | Velocity 207.07 m/s | Battery 23.18 V | Status HEALTHY
Packet 67 | Time 66 s | Altitude 7182.06 m | Velocity 212.07 m/s | Battery 23.16 V | Status HEALTHY
Packet 68 | Time 67 s | Altitude 7398.83 m | Velocity 216.77 m/s | Battery 23.15 V | Status HEALTHY
Packet 69 | Time 68 s | Altitude 7618.55 m | Velocity 219.72 m/s | Battery 23.14 V | Status HEALTHY
Packet 70 | Time 69 s | Altitude 7839.5 m | Velocity 220.95 m/s | Battery 23.12 V | Status HEALTHY
Packet 71 | Time 70 s | Altitude 8062.51 m | Velocity 223.01 m/s | Battery 23.11 V | Status HEALTHY
Packet 72 | Time 71 s | Altitude 8288.21 m | Velocity 225.7 m/s | Battery 23.09 V | Status HEALTHY
Packet 73 | Time 72 s | Altitude 8517.14 m | Velocity 228.93 m/s | Battery 23.08 V | Status HEALTHY
Packet 74 | Time 73 s | Altitude 8748.25 m | Velocity 231.11 m/s | Battery 23.06 V | Status HEALTHY
Packet 75 | Time 74 s | Altitude 8982.53 m | Velocity 234.28 m/s | Battery 23.06 V | Status HEALTHY
Packet 76 | Time 75 s | Altitude 9220.15 m | Velocity 237.62 m/s | Battery 23.04 V | Status HEALTHY
Packet 77 | Time 76 s | Altitude 9459.4 m | Velocity 239.25 m/s | Battery 23.03 V | Status HEALTHY
Packet 78 | Time 77 s | Altitude 9700.39 m | Velocity 240.99 m/s | Battery 23.02 V | Status HEALTHY
Packet 79 | Time 78 s | Altitude 9943.32 m | Velocity 242.93 m/s | Battery 23.0 V | Status HEALTHY
Packet 80 | Time 79 s | Altitude 10188.24 m | Velocity 244.92 m/s | Battery 22.99 V | Status HEALTHY
Packet 81 | Time 80 s | Altitude 10435.83 m | Velocity 247.59 m/s | Battery 22.97 V | Status HEALTHY
Packet 82 | Time 81 s | Altitude 10688.16 m | Velocity 252.33 m/s | Battery 22.96 V | Status HEALTHY
Packet 83 | Time 82 s | Altitude 10942.45 m | Velocity 254.29 m/s | Battery 22.94 V | Status HEALTHY
Packet 84 | Time 83 s | Altitude 11198.94 m | Velocity 256.49 m/s | Battery 22.93 V | Status HEALTHY
Packet 85 | Time 84 s | Altitude 11456.71 m | Velocity 257.78 m/s | Battery 22.91 V | Status HEALTHY
Packet 86 | Time 85 s | Altitude 11719.48 m | Velocity 262.76 m/s | Battery 22.9 V | Status HEALTHY
Packet 87 | Time 86 s | Altitude 11984.3 m | Velocity 264.82 m/s | Battery 22.88 V | Status HEALTHY
Packet 88 | Time 87 s | Altitude 12253.64 m | Velocity 269.34 m/s | Battery 22.87 V | Status HEALTHY
Packet 89 | Time 88 s | Altitude 12527.31 m | Velocity 273.67 m/s | Battery 22.86 V | Status HEALTHY
Packet 90 | Time 89 s | Altitude 12805.94 m | Velocity 278.62 m/s | Battery 22.85 V | Status HEALTHY
Packet 91 | Time 90 s | Altitude 13088.83 m | Velocity 282.89 m/s | Battery 22.84 V | Status HEALTHY
Packet 92 | Time 91 s | Altitude 13376.47 m | Velocity 287.65 m/s | Battery 22.83 V | Status HEALTHY
Packet 93 | Time 92 s | Altitude 13665.55 m | Velocity 289.08 m/s | Battery 22.82 V | Status HEALTHY
Packet 94 | Time 93 s | Altitude 13958.05 m | Velocity 292.5 m/s | Battery 22.82 V | Status HEALTHY
Packet 95 | Time 94 s | Altitude 14254.08 m | Velocity 296.03 m/s | Battery 22.8 V | Status HEALTHY
Packet 96 | Time 95 s | Altitude 14554.73 m | Velocity 300.65 m/s | Battery 22.8 V | Status HEALTHY
Packet 97 | Time 96 s | Altitude 14858.08 m | Velocity 303.35 m/s | Battery 22.79 V | Status HEALTHY
Packet 98 | Time 97 s | Altitude 15165.51 m | Velocity 307.43 m/s | Battery 22.78 V | Status HEALTHY
Packet 99 | Time 98 s | Altitude 15476.91 m | Velocity 311.4 m/s | Battery 22.77 V | Status HEALTHY
Packet 100 | Time 99 s | Altitude 15789.34 m | Velocity 312.44 m/s | Battery 22.75 V | Status HEALTHY

====================
Healthy Packets : 100
Warning Packets : 0
